Year,City,Month,Crime,Frequency
2013,Agra,January,Burglary,36
2013,Agra,January,Kidnapping,40
2013,Agra,January,Murder,34
2013,Agra,January,Rape,40
2013,Agra,January,Theft,45
2013,Agra,February,Burglary,37
2013,Agra,February,Kidnapping,59
2013,Agra,February,Murder,48
2013,Agra,February,Rape,47
2013,Agra,February,Theft,21
2013,Agra,March,Burglary,58
2013,Agra,March,Kidnapping,50
2013,Agra,March,Murder,29
2013,Agra,March,Rape,40
2013,Agra,March,Theft,47
2013,Agra,April,Burglary,43
2013,Agra,April,Kidnapping,21
2013,Agra,April,Murder,21
2013,Agra,April,Rape,48
2013,Agra,April,Theft,57
2013,Agra,May,Burglary,51
2013,Agra,May,Kidnapping,39
2013,Agra,May,Murder,50
2013,Agra,May,Rape,48
2013,Agra,May,Theft,39
2013,Agra,June,Burglary,57
2013,Agra,June,Kidnapping,43
2013,Agra,June,Murder,30
2013,Agra,June,Rape,57
2013,Agra,June,Theft,22
2013,Agra,July,Burglary,27
2013,Agra,July,Kidnapping,32
2013,Agra,July,Murder,28
2013,Agra,July,Rape,30
2013,Agra,July,Theft,22
2013,Agra,August,Burglary,42
2013,Agra,August,Kidnapping,35
2013,Agra,August,Murder,28
2013,Agra,August,Rape,31
2013,Agra,August,Theft,50
2013,Agra,September,Burglary,36
2013,Agra,September,Kidnapping,40
2013,Agra,September,Murder,43
2013,Agra,September,Rape,27
2013,Agra,September,Theft,55
2013,Agra,October,Burglary,58
2013,Agra,October,Kidnapping,20
2013,Agra,October,Murder,36
2013,Agra,October,Rape,57
2013,Agra,October,Theft,31
2013,Agra,November,Burglary,21
2013,Agra,November,Kidnapping,25
2013,Agra,November,Murder,25
2013,Agra,November,Rape,44
2013,Agra,November,Theft,54
2013,Agra,December,Burglary,44
2013,Agra,December,Kidnapping,38
2013,Agra,December,Murder,21
2013,Agra,December,Rape,28
2013,Agra,December,Theft,26
2013,Aligarh,January,Burglary,23
2013,Aligarh,January,Kidnapping,27
2013,Aligarh,January,Murder,46
2013,Aligarh,January,Rape,51
2013,Aligarh,January,Theft,32
2013,Aligarh,February,Burglary,38
2013,Aligarh,February,Kidnapping,26
2013,Aligarh,February,Murder,38
2013,Aligarh,February,Rape,57
2013,Aligarh,February,Theft,52
2013,Aligarh,March,Burglary,40
2013,Aligarh,March,Kidnapping,37
2013,Aligarh,March,Murder,32
2013,Aligarh,March,Rape,48
2013,Aligarh,March,Theft,56
2013,Aligarh,April,Burglary,27
2013,Aligarh,April,Kidnapping,24
2013,Aligarh,April,Murder,33
2013,Aligarh,April,Rape,58
2013,Aligarh,April,Theft,37
2013,Aligarh,May,Burglary,44
2013,Aligarh,May,Kidnapping,51
2013,Aligarh,May,Murder,22
2013,Aligarh,May,Rape,24
2013,Aligarh,May,Theft,23
2013,Aligarh,June,Burglary,31
2013,Aligarh,June,Kidnapping,47
2013,Aligarh,June,Murder,22
2013,Aligarh,June,Rape,52
2013,Aligarh,June,Theft,35
2013,Aligarh,July,Burglary,25
2013,Aligarh,July,Kidnapping,59
2013,Aligarh,July,Murder,60
2013,Aligarh,July,Rape,56
2013,Aligarh,July,Theft,35
2013,Aligarh,August,Burglary,36
2013,Aligarh,August,Kidnapping,55
2013,Aligarh,August,Murder,59
2013,Aligarh,August,Rape,40
